Ulasan,Tanggal_Ulasan,Label,lokasi,hasil_ulasan,cleaning,tokenisasi,normalisasi,stopword
Pantainya bagus.,4 tahun lalu,Positif,pantai lombang,pantainya bagus.,pantainya bagus.,"['pantainya', 'bagus', '.']","['pantainya', 'bagus', '.']","['pantainya', 'bagus', '.']"
"Bersih, suasana juga tenang. Biasanya suka ada event",3 tahun lalu,Positif,pantai lombang,"bersih, suasana juga tenang. biasanya suka ada event","bersih, suasana juga tenang. biasanya suka ada event","['bersih', ',', 'suasana', 'juga', 'tenang', '.', 'biasanya', 'suka', 'ada', 'event']","['bersih', ',', 'suasana', 'juga', 'tenang', '.', 'biasanya', 'suka', 'ada', 'event']","['bersih', ',', 'suasana', 'tenang', '.', 'suka', 'event']"
"Lebih bersih, ada spot fotonya juga, dan yang paling disuka rindang sih, kl untuk makanan banyak yang jual",2 tahun lalu,Positif,pantai lombang,"lebih bersih, ada spot fotonya juga, dan yang paling disuka rindang sih, kl untuk makanan banyak yang jual","lebih bersih, ada spot fotonya juga, dan yang paling disuka rindang sih, kl untuk makanan banyak yang jual","['lebih', 'bersih', ',', 'ada', 'spot', 'fotonya', 'juga', ',', 'dan', 'yang', 'paling', 'disuka', 'rindang', 'sih', ',', 'kl', 'untuk', 'makanan', 'banyak', 'yang', 'jual']","['lebih', 'bersih', ',', 'ada', 'spot', 'fotonya', 'juga', ',', 'dan', 'yang', 'paling', 'disuka', 'rindang', 'sih', ',', 'kalau', 'untuk', 'makanan', 'banyak', 'yang', 'jual']","['bersih', ',', 'spot', 'fotonya', ',', 'disuka', 'rindang', 'sih', ',', 'makanan', 'jual']"
Tempatnya bagus wisatanya itu sejuk gitu loh pengunjungnya ramai,setahun lalu,Positif,pantai lombang,tempatnya bagus wisatanya itu sejuk gitu loh pengunjungnya ramai,tempatnya bagus wisatanya itu sejuk gitu loh pengunjungnya ramai,"['tempatnya', 'bagus', 'wisatanya', 'itu', 'sejuk', 'gitu', 'loh', 'pengunjungnya', 'ramai']","['tempatnya', 'bagus', 'wisatanya', 'itu', 'sejuk', 'begitu', 'loh', 'pengunjungnya', 'ramai']","['tempatnya', 'bagus', 'wisatanya', 'sejuk', 'loh', 'pengunjungnya', 'ramai']"
"Pantainya luas dan panjaaang
Dan nyaman landai ombak pun tdk tinggi bisa banget berenang buat bocah jg nyaman krn landai makanan relatif murah
Cuma toilet yg kudu di upgrade",3 tahun lalu,Positif,pantai lombang,"pantainya luas dan panjaaang
dan nyaman landai ombak pun tdk tinggi bisa banget berenang buat bocah jg nyaman krn landai makanan relatif murah
cuma toilet yg kudu di upgrade",pantainya luas dan panjaaang dan nyaman landai ombak pun tdk tinggi bisa banget berenang buat bocah jg nyaman krn landai makanan relatif murah cuma toilet yg kudu di upgrade,"['pantainya', 'luas', 'dan', 'panjaaang', 'dan', 'nyaman', 'landai', 'ombak', 'pun', 'tdk', 'tinggi', 'bisa', 'banget', 'berenang', 'buat', 'bocah', 'jg', 'nyaman', 'krn', 'landai', 'makanan', 'relatif', 'murah', 'cuma', 'toilet', 'yg', 'kudu', 'di', 'upgrade']","['pantainya', 'luas', 'dan', 'panjaaang', 'dan', 'nyaman', 'landai', 'ombak', 'pun', 'tidak', 'tinggi', 'bisa', 'banget', 'berenang', 'buat', 'bocah', 'juga', 'nyaman', 'karena', 'landai', 'makanan', 'relatif', 'murah', 'cuma', 'toilet', 'yang', 'harus', 'di', 'upgrade']","['pantainya', 'luas', 'panjaaang', 'nyaman', 'landai', 'ombak', 'tidak', 'banget', 'berenang', 'bocah', 'nyaman', 'landai', 'makanan', 'relatif', 'murah', 'toilet', 'upgrade']"
"Sudah sepi tidak seperti dulu, banyak sampah",8 bulan lalu,Negatif,pantai lombang,"sudah sepi tidak seperti dulu, banyak sampah","sudah sepi tidak seperti dulu, banyak sampah","['sudah', 'sepi', 'tidak', 'seperti', 'dulu', ',', 'banyak', 'sampah']","['sudah', 'sepi', 'tidak', 'seperti', 'dulu', ',', 'banyak', 'sampah']","['sepi', 'tidak', ',', 'sampah']"
"Pantai nya cukup indah lihat review nya di channel yutub kami ""Positive Vibes Indonesia""",setahun lalu,Positif,pantai lombang,"pantai nya cukup indah lihat review nya di channel yutub kami ""positive vibes indonesia""","pantai nya cukup indah lihat review nya di channel yutub kami ""positive vibes indonesia""","['pantai', 'nya', 'cukup', 'indah', 'lihat', 'review', 'nya', 'di', 'channel', 'yutub', 'kami', '``', 'positive', 'vibes', 'indonesia', ""''""]","['pantai', 'nya', 'cukup', 'indah', 'lihat', 'review', 'nya', 'di', 'channel', 'yutub', 'kami', '``', 'positive', 'vibes', 'indonesia', ""''""]","['pantai', 'indah', 'lihat', 'review', 'channel', 'yutub', '``', 'positive', 'vibes', 'indonesia', ""''""]"
"Pantainya keren, trus view nya lumayan bagus, tp ombaknya ngerii, jdi jngn terlalu ke tengah😁 …",2 tahun lalu,Positif,pantai lombang,"pantainya keren, trus view nya lumayan bagus, tp ombaknya ngerii, jdi jngn terlalu ke tengah😁 …","pantainya keren, trus view nya lumayan bagus, tp ombaknya ngerii, jdi jngn terlalu ke tengah? ?","['pantainya', 'keren', ',', 'trus', 'view', 'nya', 'lumayan', 'bagus', ',', 'tp', 'ombaknya', 'ngerii', ',', 'jdi', 'jngn', 'terlalu', 'ke', 'tengah', '?', '?']","['pantainya', 'keren', ',', 'terus', 'view', 'nya', 'lumayan', 'bagus', ',', 'tapi', 'ombaknya', 'ngerii', ',', 'jadi', 'jngn', 'terlalu', 'ke', 'tengah', '?', '?']","['pantainya', 'keren', ',', 'view', 'lumayan', 'bagus', ',', 'tapi', 'ombaknya', 'ngerii', ',', 'jngn', '?', '?']"
"Tempat dengan potensi alam luar biasa, tapi itu sekitar  satu tahun yg lalu. 24 november 2019 kesini lagi, sudah mulai terganggu dengan bau limbah tambak buatan untuk udang. Air bekas tambak di buang ke lokasi wisata. Pemda SUMENEP ABAI DENGAN KONDISI INI. aset wisata terbesarnya DIRUSAK sendiri...PAYAH",3 tahun lalu,Negatif,pantai lombang,"tempat dengan potensi alam luar biasa, tapi itu sekitar  satu tahun yg lalu. 24 november 2019 kesini lagi, sudah mulai terganggu dengan bau limbah tambak buatan untuk udang. air bekas tambak di buang ke lokasi wisata. pemda sumenep abai dengan kondisi ini. aset wisata terbesarnya dirusak sendiri...payah","tempat dengan potensi alam luar biasa, tapi itu sekitar satu tahun yg lalu.  november  kesini lagi, sudah mulai terganggu dengan bau limbah tambak buatan untuk udang. air bekas tambak di buang ke lokasi wisata. pemda sumenep abai dengan kondisi ini. aset wisata terbesarnya dirusak sendiri...payah","['tempat', 'dengan', 'potensi', 'alam', 'luar', 'biasa', ',', 'tapi', 'itu', 'sekitar', 'satu', 'tahun', 'yg', 'lalu', '.', 'november', 'kesini', 'lagi', ',', 'sudah', 'mulai', 'terganggu', 'dengan', 'bau', 'limbah', 'tambak', 'buatan', 'untuk', 'udang', '.', 'air', 'bekas', 'tambak', 'di', 'buang', 'ke', 'lokasi', 'wisata', '.', 'pemda', 'sumenep', 'abai', 'dengan', 'kondisi', 'ini', '.', 'aset', 'wisata', 'terbesarnya', 'dirusak', 'sendiri', '...', 'payah']","['tempat', 'dengan', 'potensi', 'alam', 'luar', 'biasa', ',', 'tapi', 'itu', 'sekitar', 'satu', 'tahun', 'yang', 'lalu', '.', 'november', 'kesini', 'lagi', ',', 'sudah', 'mulai', 'terganggu', 'dengan', 'bau', 'limbah', 'tambak', 'buatan', 'untuk', 'udang', '.', 'air', 'bekas', 'tambak', 'di', 'buang', 'ke', 'lokasi', 'wisata', '.', 'pemerintah daerah', 'sumenep', 'abai', 'dengan', 'kondisi', 'ini', '.', 'aset', 'wisata', 'terbesarnya', 'dirusak', 'sendiri', '...', 'payah']","['potensi', 'alam', ',', 'tapi', '.', 'november', 'kesini', ',', 'terganggu', 'bau', 'limbah', 'tambak', 'buatan', 'udang', '.', 'air', 'bekas', 'tambak', 'buang', 'lokasi', 'wisata', '.', 'pemerintah daerah', 'sumenep', 'abai', 'kondisi', '.', 'aset', 'wisata', 'terbesarnya', 'dirusak', '...', 'payah']"
Pantai lombang sumenep yg indah..,4 tahun lalu,Positif,pantai lombang,pantai lombang sumenep yg indah..,pantai lombang sumenep yg indah..,"['pantai', 'lombang', 'sumenep', 'yg', 'indah', '..']","['pantai', 'lombang', 'sumenep', 'yang', 'indah', '..']","['pantai', 'lombang', 'sumenep', 'indah', '..']"
 hanya kurang pengelolaannya saja,setahun lalu,Negatif,pantai lombang, hanya kurang pengelolaannya saja,hanya kurang pengelolaannya saja,"['hanya', 'kurang', 'pengelolaannya', 'saja']","['hanya', 'kurang', 'pengelolaannya', 'saja']",['pengelolaannya']
Momentnya cantik banget sore sore kesini,4 tahun lalu,Positif,pantai lombang,momentnya cantik banget sore sore kesini,momentnya cantik banget sore sore kesini,"['momentnya', 'cantik', 'banget', 'sore', 'sore', 'kesini']","['momentnya', 'cantik', 'banget', 'sore', 'sore', 'kesini']","['momentnya', 'cantik', 'banget', 'sore', 'sore', 'kesini']"
 lumayan panas tapi tertolong karena banyak pohon2 cemara udang yg rindang.. Sayang fasilitas kamar mandi kotor dan kadang tidak ada air.,4 tahun lalu,Negatif,pantai lombang, lumayan panas tapi tertolong karena banyak pohon2 cemara udang yg rindang.. sayang fasilitas kamar mandi kotor dan kadang tidak ada air.,lumayan panas tapi tertolong karena banyak pohon cemara udang yg rindang.. sayang fasilitas kamar mandi kotor dan kadang tidak ada air.,"['lumayan', 'panas', 'tapi', 'tertolong', 'karena', 'banyak', 'pohon', 'cemara', 'udang', 'yg', 'rindang', '..', 'sayang', 'fasilitas', 'kamar', 'mandi', 'kotor', 'dan', 'kadang', 'tidak', 'ada', 'air', '.']","['lumayan', 'panas', 'tapi', 'tertolong', 'karena', 'banyak', 'pohon', 'cemara', 'udang', 'yang', 'rindang', '..', 'sayang', 'fasilitas', 'kamar', 'mandi', 'kotor', 'dan', 'kadang', 'tidak', 'ada', 'air', '.']","['lumayan', 'panas', 'tapi', 'tertolong', 'pohon', 'cemara', 'udang', 'rindang', '..', 'sayang', 'fasilitas', 'kamar', 'mandi', 'kotor', 'kadang', 'tidak', 'air', '.']"
"Tempatnya bagus masih bersih juga pasirnya putih ada juga penyewaan kuda.
Untuk tiket masuk ke pantai 5.000",3 tahun lalu,Positif,pantai lombang,"tempatnya bagus masih bersih juga pasirnya putih ada juga penyewaan kuda.
untuk tiket masuk ke pantai 5.000",tempatnya bagus masih bersih juga pasirnya putih ada juga penyewaan kuda. untuk tiket masuk ke pantai .,"['tempatnya', 'bagus', 'masih', 'bersih', 'juga', 'pasirnya', 'putih', 'ada', 'juga', 'penyewaan', 'kuda', '.', 'untuk', 'tiket', 'masuk', 'ke', 'pantai', '.']","['tempatnya', 'bagus', 'masih', 'bersih', 'juga', 'pasirnya', 'putih', 'ada', 'juga', 'penyewaan', 'kuda', '.', 'untuk', 'tiket', 'masuk', 'ke', 'pantai', '.']","['tempatnya', 'bagus', 'bersih', 'pasirnya', 'putih', 'penyewaan', 'kuda', '.', 'tiket', 'masuk', 'pantai', '.']"
"Menarik untuk dikunjungi, sejuk. Cocok untuk berlibur dg teman dan keluarga, mudah mencari makanan,  fasilitas cukup lengkap,  warung, jasa foto dan naik kuda",4 tahun lalu,Positif,pantai lombang,"menarik untuk dikunjungi, sejuk. cocok untuk berlibur dg teman dan keluarga, mudah mencari makanan,  fasilitas cukup lengkap,  warung, jasa foto dan naik kuda","menarik untuk dikunjungi, sejuk. cocok untuk berlibur dg teman dan keluarga, mudah mencari makanan, fasilitas cukup lengkap, warung, jasa foto dan naik kuda","['menarik', 'untuk', 'dikunjungi', ',', 'sejuk', '.', 'cocok', 'untuk', 'berlibur', 'dg', 'teman', 'dan', 'keluarga', ',', 'mudah', 'mencari', 'makanan', ',', 'fasilitas', 'cukup', 'lengkap', ',', 'warung', ',', 'jasa', 'foto', 'dan', 'naik', 'kuda']","['menarik', 'untuk', 'dikunjungi', ',', 'sejuk', '.', 'cocok', 'untuk', 'berlibur', 'dengan', 'teman', 'dan', 'keluarga', ',', 'mudah', 'mencari', 'makanan', ',', 'fasilitas', 'cukup', 'lengkap', ',', 'warung', ',', 'jasa', 'foto', 'dan', 'naik', 'kuda']","['menarik', 'dikunjungi', ',', 'sejuk', '.', 'cocok', 'berlibur', 'teman', 'keluarga', ',', 'mudah', 'mencari', 'makanan', ',', 'fasilitas', 'lengkap', ',', 'warung', ',', 'jasa', 'foto', 'kuda']"
"Tempat yg indah, teduh, fasilitas lengkap. Recommended",4 tahun lalu,Positif,pantai lombang,"tempat yg indah, teduh, fasilitas lengkap. recommended","tempat yg indah, teduh, fasilitas lengkap. recommended","['tempat', 'yg', 'indah', ',', 'teduh', ',', 'fasilitas', 'lengkap', '.', 'recommended']","['tempat', 'yang', 'indah', ',', 'teduh', ',', 'fasilitas', 'lengkap', '.', 'recommended']","['indah', ',', 'teduh', ',', 'fasilitas', 'lengkap', '.', 'recommended']"
perjalanannya jauh  membosankan …,setahun lalu,Negatif,pantai lombang,perjalanannya jauh  membosankan …,perjalanannya jauh membosankan ?,"['perjalanannya', 'jauh', 'membosankan', '?']","['perjalanannya', 'jauh', 'membosankan', '?']","['perjalanannya', 'membosankan', '?']"
 banyak sampahnya,setahun lalu,Negatif,pantai lombang, banyak sampahnya,banyak sampahnya,"['banyak', 'sampahnya']","['banyak', 'sampahnya']",['sampahnya']
Pantai y bagus.. pas lah buat berwisata bareng keluarga.. tapi sayang banyak roda dua yg lalu lalang di bibir pantai y..,4 tahun lalu,Positif,pantai lombang,pantai y bagus.. pas lah buat berwisata bareng keluarga.. tapi sayang banyak roda dua yg lalu lalang di bibir pantai y..,pantai y bagus.. pas lah buat berwisata bareng keluarga.. tapi sayang banyak roda dua yg lalu lalang di bibir pantai y..,"['pantai', 'y', 'bagus', '..', 'pas', 'lah', 'buat', 'berwisata', 'bareng', 'keluarga', '..', 'tapi', 'sayang', 'banyak', 'roda', 'dua', 'yg', 'lalu', 'lalang', 'di', 'bibir', 'pantai', 'y', '..']","['pantai', 'kenapa', 'bagus', '..', 'pas', 'lah', 'buat', 'berwisata', 'bareng', 'keluarga', '..', 'tapi', 'sayang', 'banyak', 'roda', 'dua', 'yang', 'lalu', 'lalang', 'di', 'bibir', 'pantai', 'kenapa', '..']","['pantai', 'bagus', '..', 'pas', 'berwisata', 'bareng', 'keluarga', '..', 'tapi', 'sayang', 'roda', 'lalang', 'bibir', 'pantai', '..']"
"Pantai yang sangat indah..  Pasir putih membentang panjang di pagar pohonw cemara..  Dan pantai yg alami,,  top..  Pantainya bersih...  Pokok nya cantik banget",3 tahun lalu,Positif,pantai lombang,"pantai yang sangat indah..  pasir putih membentang panjang di pagar pohonw cemara..  dan pantai yg alami,,  top..  pantainya bersih...  pokok nya cantik banget","pantai yang sangat indah.. pasir putih membentang panjang di pagar pohonw cemara.. dan pantai yg alami,, top.. pantainya bersih... pokok nya cantik banget","['pantai', 'yang', 'sangat', 'indah', '..', 'pasir', 'putih', 'membentang', 'panjang', 'di', 'pagar', 'pohonw', 'cemara', '..', 'dan', 'pantai', 'yg', 'alami', ',', ',', 'top', '..', 'pantainya', 'bersih', '...', 'pokok', 'nya', 'cantik', 'banget']","['pantai', 'yang', 'sangat', 'indah', '..', 'pasir', 'putih', 'membentang', 'panjang', 'di', 'pagar', 'pohonw', 'cemara', '..', 'dan', 'pantai', 'yang', 'alami', ',', ',', 'top', '..', 'pantainya', 'bersih', '...', 'pokok', 'nya', 'cantik', 'banget']","['pantai', 'sangat', 'indah', '..', 'pasir', 'putih', 'membentang', 'pagar', 'pohonw', 'cemara', '..', 'pantai', 'alami', ',', ',', 'top', '..', 'pantainya', 'bersih', '...', 'pokok', 'cantik', 'banget']"
Indah namanya elok tempatnya masih ada harapan untuk menginjakkan bersama keluarga kecil ku kelak😇 …,3 tahun lalu,Positif,pantai lombang,indah namanya elok tempatnya masih ada harapan untuk menginjakkan bersama keluarga kecil ku kelak😇 …,indah namanya elok tempatnya masih ada harapan untuk menginjakkan bersama keluarga kecil ku kelak? ?,"['indah', 'namanya', 'elok', 'tempatnya', 'masih', 'ada', 'harapan', 'untuk', 'menginjakkan', 'bersama', 'keluarga', 'kecil', 'ku', 'kelak', '?', '?']","['indah', 'namanya', 'elok', 'tempatnya', 'masih', 'ada', 'harapan', 'untuk', 'menginjakkan', 'bersama', 'keluarga', 'kecil', 'ku', 'kelak', '?', '?']","['indah', 'namanya', 'elok', 'tempatnya', 'harapan', 'menginjakkan', 'keluarga', 'ku', 'kelak', '?', '?']"
Pantai paling bagus se kota sumemep.. Banyak cemaraa... Apalagi warung rujak langganan mantap sama es degannya..,4 tahun lalu,Positif,pantai lombang,pantai paling bagus se kota sumemep.. banyak cemaraa... apalagi warung rujak langganan mantap sama es degannya..,pantai paling bagus se kota sumemep.. banyak cemaraa... apalagi warung rujak langganan mantap sama es degannya..,"['pantai', 'paling', 'bagus', 'se', 'kota', 'sumemep', '..', 'banyak', 'cemaraa', '...', 'apalagi', 'warung', 'rujak', 'langganan', 'mantap', 'sama', 'es', 'degannya', '..']","['pantai', 'paling', 'bagus', 'se', 'kota', 'sumemep', '..', 'banyak', 'cemaraa', '...', 'apalagi', 'warung', 'rujak', 'langganan', 'mantap', 'sama', 'es', 'degannya', '..']","['pantai', 'bagus', 'kota', 'sumemep', '..', 'cemaraa', '...', 'warung', 'rujak', 'langganan', 'mantap', 'es', 'degannya', '..']"
"Ttp yg terbaik pasirnya...cm penataannya saja yg kurang...sayang sebenernya, potensi wisata yg terbengkalai walau sdh ada perbaikan dikit",4 tahun lalu,Negatif,pantai lombang,"ttp yg terbaik pasirnya...cm penataannya saja yg kurang...sayang sebenernya, potensi wisata yg terbengkalai walau sdh ada perbaikan dikit","ttp yg terbaik pasirnya...cm penataannya saja yg kurang...sayang sebenernya, potensi wisata yg terbengkalai walau sdh ada perbaikan dikit","['ttp', 'yg', 'terbaik', 'pasirnya', '...', 'cm', 'penataannya', 'saja', 'yg', 'kurang', '...', 'sayang', 'sebenernya', ',', 'potensi', 'wisata', 'yg', 'terbengkalai', 'walau', 'sdh', 'ada', 'perbaikan', 'dikit']","['tetap', 'yang', 'terbaik', 'pasirnya', '...', 'cm', 'penataannya', 'saja', 'yang', 'kurang', '...', 'sayang', 'sebenernya', ',', 'potensi', 'wisata', 'yang', 'terbengkalai', 'walau', 'sudah', 'ada', 'perbaikan', 'dikit']","['terbaik', 'pasirnya', '...', 'cm', 'penataannya', '...', 'sayang', 'sebenernya', ',', 'potensi', 'wisata', 'terbengkalai', 'perbaikan', 'dikit']"
 toiletnya kurang mendukung,4 tahun lalu,Negatif,pantai lombang, toiletnya kurang mendukung,toiletnya kurang mendukung,"['toiletnya', 'kurang', 'mendukung']","['toiletnya', 'kurang', 'mendukung']","['toiletnya', 'mendukung']"
pemandanga sangat indah mempesona,2 tahun lalu,Positif,pantai lombang,pemandanga sangat indah mempesona,pemandanga sangat indah mempesona,"['pemandanga', 'sangat', 'indah', 'mempesona']","['pemandanga', 'sangat', 'indah', 'mempesona']","['pemandanga', 'sangat', 'indah', 'mempesona']"
Tempatnya bagus banget😍😍😍 …,3 tahun lalu,Positif,pantai lombang,tempatnya bagus banget😍😍😍 …,tempatnya bagus banget??? ?,"['tempatnya', 'bagus', 'banget', '?', '?', '?', '?']","['tempatnya', 'bagus', 'banget', '?', '?', '?', '?']","['tempatnya', 'bagus', 'banget', '?', '?', '?', '?']"
"Hamparan pasir putih yg sangat luas,,disertai dgn pohon cemara udang.,sangat indahh..cocok buat bersantai.",4 tahun lalu,Positif,pantai lombang,"hamparan pasir putih yg sangat luas,,disertai dgn pohon cemara udang.,sangat indahh..cocok buat bersantai.","hamparan pasir putih yg sangat luas,,disertai dgn pohon cemara udang.,sangat indahh..cocok buat bersantai.","['hamparan', 'pasir', 'putih', 'yg', 'sangat', 'luas', ',', ',disertai', 'dgn', 'pohon', 'cemara', 'udang.', ',', 'sangat', 'indahh', '..', 'cocok', 'buat', 'bersantai', '.']","['hamparan', 'pasir', 'putih', 'yang', 'sangat', 'luas', ',', ',disertai', 'dengan', 'pohon', 'cemara', 'udang.', ',', 'sangat', 'indahh', '..', 'cocok', 'buat', 'bersantai', '.']","['hamparan', 'pasir', 'putih', 'sangat', 'luas', ',', ',disertai', 'pohon', 'cemara', 'udang.', ',', 'sangat', 'indahh', '..', 'cocok', 'bersantai', '.']"
 pengelolaannya yg blm maksimal.,3 tahun lalu,Negatif,pantai lombang, pengelolaannya yg blm maksimal.,pengelolaannya yg blm maksimal.,"['pengelolaannya', 'yg', 'blm', 'maksimal', '.']","['pengelolaannya', 'yang', 'belum', 'maksimal', '.']","['pengelolaannya', 'maksimal', '.']"
Sangat bagus sekali pantainya😊😍😍😍 …,2 tahun lalu,Positif,pantai lombang,sangat bagus sekali pantainya😊😍😍😍 …,sangat bagus sekali pantainya???? ?,"['sangat', 'bagus', 'sekali', 'pantainya', '?', '?', '?', '?', '?']","['sangat', 'bagus', 'sekali', 'pantainya', '?', '?', '?', '?', '?']","['sangat', 'bagus', 'pantainya', '?', '?', '?', '?', '?']"
"Tempat yang aman dan nyaman untuk digunakan kemah satu pleton, airnya yang jernih, serta warga yang ramah",3 tahun lalu,Positif,pantai lombang,"tempat yang aman dan nyaman untuk digunakan kemah satu pleton, airnya yang jernih, serta warga yang ramah","tempat yang aman dan nyaman untuk digunakan kemah satu pleton, airnya yang jernih, serta warga yang ramah","['tempat', 'yang', 'aman', 'dan', 'nyaman', 'untuk', 'digunakan', 'kemah', 'satu', 'pleton', ',', 'airnya', 'yang', 'jernih', ',', 'serta', 'warga', 'yang', 'ramah']","['tempat', 'yang', 'aman', 'dan', 'nyaman', 'untuk', 'digunakan', 'kemah', 'satu', 'pleton', ',', 'airnya', 'yang', 'jernih', ',', 'serta', 'warga', 'yang', 'ramah']","['aman', 'nyaman', 'kemah', 'pleton', ',', 'airnya', 'jernih', ',', 'warga', 'ramah']"
"Tidak seberapa nyaman untuk menikmati udara, sepi penjual.",3 tahun lalu,Negatif,pantai lombang,"tidak seberapa nyaman untuk menikmati udara, sepi penjual.","tidak seberapa nyaman untuk menikmati udara, sepi penjual.","['tidak', 'seberapa', 'nyaman', 'untuk', 'menikmati', 'udara', ',', 'sepi', 'penjual', '.']","['tidak', 'seberapa', 'nyaman', 'untuk', 'menikmati', 'udara', ',', 'sepi', 'penjual', '.']","['tidak', 'nyaman', 'menikmati', 'udara', ',', 'sepi', 'penjual', '.']"
Pantai yang enak buat kita berlibur bersama keluarga..hamparan pasirnya luas banget,3 tahun lalu,Positif,pantai lombang,pantai yang enak buat kita berlibur bersama keluarga..hamparan pasirnya luas banget,pantai yang enak buat kita berlibur bersama keluarga..hamparan pasirnya luas banget,"['pantai', 'yang', 'enak', 'buat', 'kita', 'berlibur', 'bersama', 'keluarga', '..', 'hamparan', 'pasirnya', 'luas', 'banget']","['pantai', 'yang', 'enak', 'buat', 'kita', 'berlibur', 'bersama', 'keluarga', '..', 'hamparan', 'pasirnya', 'luas', 'banget']","['pantai', 'enak', 'berlibur', 'keluarga', '..', 'hamparan', 'pasirnya', 'luas', 'banget']"
Bagus tempat nyantai,4 tahun lalu,Positif,pantai lombang,bagus tempat nyantai,bagus tempat nyantai,"['bagus', 'tempat', 'nyantai']","['bagus', 'tempat', 'nyantai']","['bagus', 'nyantai']"
"Sudah 2x kepantai ini tapi ditutup tanpa pemberian informasi publik, saya jauh-jauh dari pamekasan. tolong buatkan website resmi supaya kita bisa mengetahui info-info terbarunya",3 tahun lalu,Negatif,pantai lombang,"sudah 2x kepantai ini tapi ditutup tanpa pemberian informasi publik, saya jauh-jauh dari pamekasan. tolong buatkan website resmi supaya kita bisa mengetahui info-info terbarunya","sudah x kepantai ini tapi ditutup tanpa pemberian informasi publik, saya jauh-jauh dari pamekasan. tolong buatkan website resmi supaya kita bisa mengetahui info-info terbarunya","['sudah', 'x', 'kepantai', 'ini', 'tapi', 'ditutup', 'tanpa', 'pemberian', 'informasi', 'publik', ',', 'saya', 'jauh-jauh', 'dari', 'pamekasan', '.', 'tolong', 'buatkan', 'website', 'resmi', 'supaya', 'kita', 'bisa', 'mengetahui', 'info-info', 'terbarunya']","['sudah', 'x', 'kepantai', 'ini', 'tapi', 'ditutup', 'tanpa', 'pemberian', 'informasi', 'publik', ',', 'saya', 'jauh-jauh', 'dari', 'pamekasan', '.', 'tolong', 'buatkan', 'website', 'resmi', 'supaya', 'kita', 'bisa', 'mengetahui', 'info-info', 'terbarunya']","['x', 'kepantai', 'tapi', 'ditutup', 'pemberian', 'informasi', 'publik', ',', 'jauh-jauh', 'pamekasan', '.', 'tolong', 'buatkan', 'website', 'resmi', 'info-info', 'terbarunya']"
Pantai lombang merupakan pantai yang sangat indah dan memiliki bibir pantai yang panjang serta suasana alam yang enak.,3 tahun lalu,Positif,pantai lombang,pantai lombang merupakan pantai yang sangat indah dan memiliki bibir pantai yang panjang serta suasana alam yang enak.,pantai lombang merupakan pantai yang sangat indah dan memiliki bibir pantai yang panjang serta suasana alam yang enak.,"['pantai', 'lombang', 'merupakan', 'pantai', 'yang', 'sangat', 'indah', 'dan', 'memiliki', 'bibir', 'pantai', 'yang', 'panjang', 'serta', 'suasana', 'alam', 'yang', 'enak', '.']","['pantai', 'lombang', 'merupakan', 'pantai', 'yang', 'sangat', 'indah', 'dan', 'memiliki', 'bibir', 'pantai', 'yang', 'panjang', 'serta', 'suasana', 'alam', 'yang', 'enak', '.']","['pantai', 'lombang', 'pantai', 'sangat', 'indah', 'memiliki', 'bibir', 'pantai', 'suasana', 'alam', 'enak', '.']"
Tempat wisata pantai yg sejuk serta rindang karena penuh dengan cemara.......,4 tahun lalu,Positif,pantai lombang,tempat wisata pantai yg sejuk serta rindang karena penuh dengan cemara.......,tempat wisata pantai yg sejuk serta rindang karena penuh dengan cemara.......,"['tempat', 'wisata', 'pantai', 'yg', 'sejuk', 'serta', 'rindang', 'karena', 'penuh', 'dengan', 'cemara', '.......']","['tempat', 'wisata', 'pantai', 'yang', 'sejuk', 'serta', 'rindang', 'karena', 'penuh', 'dengan', 'cemara', '.......']","['wisata', 'pantai', 'sejuk', 'rindang', 'penuh', 'cemara', '.......']"
"Pantai lombang buka apa gak?
Selama hari raya
Mohon infonya",2 tahun lalu,Negatif,pantai lombang,"pantai lombang buka apa gak?
selama hari raya
mohon infonya",pantai lombang buka apa gak? selama hari raya mohon infonya,"['pantai', 'lombang', 'buka', 'apa', 'gak', '?', 'selama', 'hari', 'raya', 'mohon', 'infonya']","['pantai', 'lombang', 'buka', 'apa', 'tidak', '?', 'selama', 'hari', 'raya', 'mohon', 'infonya']","['pantai', 'lombang', 'buka', 'tidak', '?', 'raya', 'mohon', 'infonya']"
Pemandangannya sangat bagus cocok untuk liburan bersama keluarga atau teman2,4 tahun lalu,Positif,pantai lombang,pemandangannya sangat bagus cocok untuk liburan bersama keluarga atau teman2,pemandangannya sangat bagus cocok untuk liburan bersama keluarga atau teman,"['pemandangannya', 'sangat', 'bagus', 'cocok', 'untuk', 'liburan', 'bersama', 'keluarga', 'atau', 'teman']","['pemandangannya', 'sangat', 'bagus', 'cocok', 'untuk', 'liburan', 'bersama', 'keluarga', 'atau', 'teman']","['pemandangannya', 'sangat', 'bagus', 'cocok', 'liburan', 'keluarga', 'teman']"
sayang sewa kudanya mahal sekali,4 tahun lalu,Negatif,pantai lombang,sayang sewa kudanya mahal sekali,sayang sewa kudanya mahal sekali,"['sayang', 'sewa', 'kudanya', 'mahal', 'sekali']","['sayang', 'sewa', 'kudanya', 'mahal', 'sekali']","['sayang', 'sewa', 'kudanya', 'mahal']"
